system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after
Jet,4,basic,0.001,31,16,4,25,13,4,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.0009373392457073924,0.000945680238011847
Jet,4,basic,0.01,31,16,4,7,4,2,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.003347970937531853,0.0033743306931121645
Jet,4,basic,0.05,31,16,4,5,3,2,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.005979588892573755,0.006017207371774865
Jet,4,basic,0.1,31,16,4,3,2,1,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.013038635499529876,0.013188888135438151
Jet,4,basic,0.5,31,16,4,3,2,1,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.013038635499529876,0.013188888135438151
Jet,4,average,0.001,31,16,4,13,7,4,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.0023101489334275446,0.002297188712692203
Jet,4,average,0.01,31,16,4,5,3,2,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.005979588892573755,0.006017207371774865
Jet,4,average,0.05,31,16,4,3,2,1,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.013038635499529876,0.013188888135438151
Jet,4,average,0.1,31,16,4,3,2,1,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.013038635499529876,0.013188888135438151
Jet,4,average,0.5,31,16,4,3,2,1,0.04207267276611268,0.04393226181415314,0.0008630645098905592,0.0008672734891876399,0.013038635499529876,0.013188888135438151
Jet,6,basic,0.001,127,64,6,25,13,4,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.0009373392457073924,0.000945680238011847
Jet,6,basic,0.01,127,64,6,7,4,2,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.003347970937531853,0.0033743306931121645
Jet,6,basic,0.05,127,64,6,5,3,2,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.005979588892573755,0.006017207371774865
Jet,6,basic,0.1,127,64,6,3,2,1,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.013038635499529876,0.013188888135438151
Jet,6,basic,0.5,127,64,6,3,2,1,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.013038635499529876,0.013188888135438151
Jet,6,average,0.001,127,64,6,13,7,4,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.0023101489334275446,0.002297188712692203
Jet,6,average,0.01,127,64,6,5,3,2,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.005979588892573755,0.006017207371774865
Jet,6,average,0.05,127,64,6,3,2,1,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.013038635499529876,0.013188888135438151
Jet,6,average,0.1,127,64,6,3,2,1,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.013038635499529876,0.013188888135438151
Jet,6,average,0.5,127,64,6,3,2,1,0.020639272893305395,0.022437040974378097,0.0002367267542418998,0.00024700967221017833,0.013038635499529876,0.013188888135438151
Jet,8,basic,0.001,511,256,8,25,13,4,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.0009373392457073924,0.000945680238011847
Jet,8,basic,0.01,511,256,8,7,4,2,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.003347970937531853,0.0033743306931121645
Jet,8,basic,0.05,511,256,8,5,3,2,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.005979588892573755,0.006017207371774865
Jet,8,basic,0.1,511,256,8,3,2,1,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.013038635499529876,0.013188888135438151
Jet,8,basic,0.5,511,256,8,3,2,1,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.013038635499529876,0.013188888135438151
Jet,8,average,0.001,511,256,8,13,7,4,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.0023101489334275446,0.002297188712692203
Jet,8,average,0.01,511,256,8,5,3,2,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.005979588892573755,0.006017207371774865
Jet,8,average,0.05,511,256,8,3,2,1,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.013038635499529876,0.013188888135438151
